id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1379560,1,55,1885,136.83,152.29,0,0,177
1466964,1,55,1993,136.83,135.83,0,0,270
1346989,1,55,2539,134.86,135.86,0,0,189
1338232,1,55,2139,339.5,437.53,0,0,54
1448490,1,55,2631,243.5,242.5,0,0,40
1270037,1,55,1248,251.23,252.23,0,0,28
1191377,1,55,1778,183.36,184.36,0,0,190
1499955,1,55,1062,182.36,183.36,0,0,391
1025244,1,55,2707,193.06,192.06,0,0,472
1054194,1,55,1207,325.92,384.18,0,1,676
1469367,1,55,1230,323.01,390,0,1,823
1029333,1,55,2322,322.07,388,0,1,972
1446016,1,55,2290,311.43,310.43,0,0,162
1244647,1,55,1727,445.23,446.23,0,0,420
1378227,1,55,1109,264.84,297.79,1,0,756
1181556,1,55,2640,282.33,281.33,0,0,108
1313873,1,55,2306,243.5,340.53,0,0,28
1067069,1,55,2126,486,485,0,0,28
1058482,1,55,2826,306.58,305.58,0,0,188
1240935,1,55,1754,289.12,289.12,0,0,485
1044821,1,55,1971,259.99,320.13,1,1,798
1149039,1,55,1902,388.03,446.23,0,0,14
1263416,1,55,1311,196.94,320.13,0,0,176
1323882,1,55,1803,117.4,188.24,0,0,150
1338119,1,55,1558,583.03,610.13,1,0,162
1188372,1,55,2581,583.03,612.13,1,0,312
1440008,1,55,1962,582.03,612.13,1,0,231
1336534,1,55,1445,628.62,627.62,0,0,13
1242186,1,55,2444,627.62,626.62,0,0,15
1012819,1,55,2867,628.62,626.62,0,0,13
1038567,1,55,1525,243.5,282.33,0,0,15
1325272,1,55,2704,243.5,282.33,0,0,13
1412058,1,55,2304,484.03,484.03,0,0,13
1040403,1,24,1885,136.83,136.83,0,0,1498
1012104,1,24,1993,134.83,135.83,0,1,1243
1277150,1,24,2539,135.86,135.86,0,0,391
1323742,1,24,2139,340.5,435.53,0,0,55
1417386,1,24,2631,247.38,248.38,0,0,67
1367249,1,24,1248,247.35,248.35,0,0,81
1168714,1,24,1778,177.51,179.51,0,0,377
1351400,1,24,1062,184.36,182.36,0,0,514
1496539,1,24,2707,190.18,188.18,0,0,1176
1372248,1,24,1207,319.19,380.27,0,0,256
1292501,1,24,1230,336.65,390,0,0,243
1346854,1,24,2322,322.07,387.09,0,0,324
1291642,1,24,2290,298.82,296.82,0,0,998
1226536,1,24,1727,412.28,411.28,0,0,702
1165348,1,24,1109,243.47,273.54,1,0,877
1079470,1,24,2577,280.33,281.33,0,0,134
1192984,1,24,2640,282.33,281.33,0,0,285
1386769,1,24,1878,281.33,280.33,0,0,95
1336850,1,24,2306,242.5,338.53,0,0,82
1211094,1,24,1216,454.93,455.93,0,0,42
1022907,1,24,2126,485,486,0,0,54
1276642,1,24,2826,301.73,301.73,0,0,744
1290603,1,24,1754,278.42,278.42,0,0,393
1457468,1,24,1971,259.05,291.03,1,1,554
1352863,1,24,1902,389.03,447.23,0,0,27
1488172,1,24,1247,387.03,446.23,0,0,28
1107611,1,24,1770,340.53,486.03,0,0,54
1298505,1,24,1198,147.5,191.09,0,0,148
1036135,1,24,1311,156.23,196,0,0,393
1215208,1,24,1803,166.87,188.18,0,0,364
1331930,1,24,1438,245.44,245.44,0,0,176
1441421,1,24,2494,244.5,272.63,0,0,109
1333208,1,24,1847,243.5,271.63,0,0,96
1490163,1,24,1558,582.03,624.74,1,0,215
1004790,1,24,2581,582.03,617.89,1,0,419
1286681,1,24,1962,588.85,610.13,1,1,634
1385562,1,24,1445,628.62,627.62,0,0,27
1183203,1,24,2444,626.62,627.62,0,0,27
1109344,1,24,2760,242.53,243.53,0,0,122
1166775,1,24,1525,244.5,281.33,0,0,487
1382473,1,24,2704,244.5,280.33,0,0,243
1051179,1,24,2492,387.03,388.03,0,0,81
1220763,1,24,1543,484.03,484.03,0,0,107
1488442,1,24,2304,486.03,486.03,0,0,203
1103215,1,11,1885,136.83,136.83,0,0,959
1093939,1,11,1993,133.89,133.89,0,0,1052
1120771,1,11,2539,133.86,135.86,0,0,379
1472938,1,11,2139,339.5,436.53,0,0,54
1136817,1,11,2631,251.23,251.23,0,0,80
1425970,1,11,1248,253.23,253.23,0,0,27
1053516,1,11,1778,183.39,181.39,0,0,620
1057835,1,11,1062,184.36,182.36,0,0,798
1309667,1,11,2707,190.12,192.12,0,0,1594
1277077,1,11,1207,315.25,353.08,0,1,446
1039023,1,11,1230,325.98,380.3,0,0,391
1483315,1,11,2322,324.04,383.21,0,0,513
1474933,1,11,2290,292.97,293.97,0,0,703
1305533,1,11,1727,364.78,403.52,0,0,879
1426280,1,11,1109,237.68,262.9,1,0,1984
1114533,1,11,2577,281.33,281.33,0,0,202
1192269,1,11,2640,280.33,282.33,0,0,271
1351149,1,11,1878,281.33,282.33,0,0,68
1039383,1,11,2306,243.5,338.53,0,0,258
1435407,1,11,1216,456.93,456.93,0,1,13
1199821,1,11,2826,338.53,338.53,0,0,458
1157042,1,11,1754,273.54,275.54,0,0,729
1200664,1,11,1971,259.99,327.86,1,0,528
